"ID","Player","Team","Position","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros"
"*04rzl*","Taiwo Awoniyi","NOT","F","FA","27","BRF Sun 9:00AM","20.75","0","2","1248.4","2%"
"*068a3*","Danilo","NOT","M","FA","24","BRF Sun 9:00AM","20.75","0","0","-","0%"
"*03dx3*","Kieran Trippier","NEW","D","ThatGuy","34","@AVL Sat 7:30AM","19.75","0","42","156.7","50%"
"*06r5b*","Diego Gomez","BHA","M","FA","22","FUL Sat 10:00AM","19.25","0","0","-","2%"
"*05t6x*","William Osula","NEW","F","FA","21","@AVL Sat 7:30AM","18.5","0","0","-","2%"
"*06onx*","Jean-Clair Todibo","WHU","D","FA","25","@SUN Sat 10:00AM","18.25","0","2","1222.4","2%"
"*02lpf*","Ross Barkley","AVL","M","FA","31","NEW Sat 7:30AM","18","0","0","-","0%"
"*05y7c*","Archie Gray","TOT","M","FA","19","BUR Sat 10:00AM","18","0","2","1176.4","5%"
"*06rm7*","Nico Gonzalez","MCI","M","FA","23","@WOL Sat 12:30PM","17.25","0","0","-","2%"
"*03rec*","Tyrone Mings","AVL","D","FA","32","NEW Sat 7:30AM","17","0","2","1144.4","2%"
"*06oav*","Guido Rodriguez","WHU","M","FA","31","@SUN Sat 10:00AM","16","0","0","-","0%"
"*06v0k*","Alan Browne","SUN","M","FA","30","WHU Sat 10:00AM","15.5","0","0","-","0%"
"*05mxa*","Joel Veltman","BHA","D","FA","33","FUL Sat 10:00AM","15.25","0","0","-","0%"
"*06635*","Oliver Scarles","WHU","D","FA","19","@SUN Sat 10:00AM","14.5","0","0","-","2%"
"*062ot*","Cheick Doucoure","CRY","M","FA","25","@CHE Sun 9:00AM","13.25","0","2","1127.4","2%"
"*06mrz*","Pedro Lima","WOL","D","FA","19","MCI Sat 12:30PM","12.25","0","0","-","2%"
"*04rh9*","David Brooks","BOU","M","FA","28","@LIV Fri 3:00PM","11.75","0","0","-","0%"
"*04ug0*","Sean Longstaff","LEE","M","FA","27","EVE Mon 3:00PM","8.75","0","0","-","0%"
